table,column,is_pk,is_fk,type,default,description
incidents,incidents_id,,,INTEGER,,
incidents,date,,,TEXT,,"Date, in ISO format. "
incidents,time,,,INTEGER,,Time
incidents,is_night,,,TEXT,,Y' means time is between sunset and sunrise. Not used
incidents,address,,,TEXT,,
incidents,type,,,TEXT,,
incidents,description,,,TEXT,,
incidents,analysisarea,,,TEXT,,Analysis area geioid
incidents,cellx,,,INTEGER,,Analysis area array x value
incidents,celly,,,INTEGER,,Analysis area array y value
incidents,lat,,,REAL,,
incidents,lon,,,REAL,,
